"N","J","Distribution","Response","Alpha_Mean","Alpha_SD","Omega_Mean","Omega_SD"
100,3,"skewed","extreme",0.724848379751518,0.0939569574229291,0.733003143539565,0.089901030751545
100,10,"heavy","extreme",0.885047160775479,0.036468508282858,0.887218296480204,0.0352194120813889
100,10,"normal","extreme",0.909694758988425,0.0194817824185188,0.910953730391638,0.0192912445258043
100,10,"skewed","extreme",0.902648309575874,0.0232574375844651,0.90425854209407,0.0226292423730287
100,20,"heavy","extreme",0.945365553269708,0.015728792366572,0.946218323251261,0.0153521973434183
100,20,"normal","extreme",0.947887768084805,0.00828330964459352,0.948593908537184,0.00809348072887228
100,20,"skewed","extreme",0.949157126999848,0.013484547086946,0.949863169243016,0.0132345807305594
200,3,"heavy","extreme",0.712552638426662,0.0578511858612512,0.718297405379454,0.0560484317455432
200,3,"normal","extreme",0.74000363893357,0.0533992240043599,0.744196279469951,0.0523015695058814
200,3,"skewed","extreme",0.72684911846719,0.0502418436843391,0.731592826856646,0.0497245467969011
200,10,"heavy","extreme",0.893089678922668,0.0323288529263356,0.894449916654057,0.0317220148088388
