"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
 100,20,"skewed","consistent",0.947311684,0.010412404,0.948184575,0.010075867
 200,20,"skewed","consistent",0.949500086,0.009486626,0.950049569,0.009219961
 300,20,"skewed","consistent",0.950162089,0.007723241,0.950687357,0.007575315
 400,20,"skewed","consistent",0.950657357,0.007526341,0.951063555,0.007455901
 500,20,"skewed","consistent",0.950638666,0.005806382,0.951048318,0.005723213
 800,20,"skewed","consistent",0.951303915,0.004781119,0.951654652,0.004731761
1000,20,"skewed","consistent",0.950224601,0.004359489,0.950601819,0.004318204
2000,20,"skewed","consistent",0.949721548,0.004436669,0.950069778,0.004391010
3000,20,"skewed","consistent",0.950581076,0.003750063,0.950927812,0.003733184
4000,20,"skewed","consistent",0.950832219,0.003922928,0.951152901,0.003895735
5000,20,"skewed","consistent",0.950009426,0.004516573,0.950351162,0.004498826
  10, 3,"heavy","extreme",0.513056085,0.454532815,0.670921762,0.222719449
  30, 3,"heavy","extreme",0.649963332,0.165031091,0.696339931,0.132707333
  50, 3,"heavy","extreme",0.678473266,0.127034593,0.699374498,0.115814424
 100, 3,"heavy","extreme",0.712572585,0.099507225,0.726705501,0.086648018
 200, 3,"heavy","extreme",0.712552638,0.057851186,0.718297405,0.056048432
 300, 3,"heavy","extreme",0.721101025,0.080390844,0.725366414,0.077908160
 400, 3,"heavy","extreme",0.722604532,0.074049311,0.725899016,0.072839772
 500, 3,"heavy","extreme",0.727626517,0.057102491,0.730562252,0.056368694
 800, 3,"heavy","extreme",0.736281163,0.060449608,0.738990441,0.059650074
1000, 3,"heavy","extreme",0.725582588,0.064476941,0.728392400,0.063608848
2000, 3,"heavy","extreme",0.739830895,0.054555769,0.741820861,0.054273345
3000, 3,"heavy","extreme",0.725937410,0.044239927,0.727722001,0.044079984
4000, 3,"heavy","extreme",0.731024024,0.048522787,0.732883102,0.048499848
5000, 3,"heavy","extreme",0.738214547,0.048020190,0.739762987,0.048027221
  30,10,"heavy","extreme",0.874477239,0.058078914,0.878236126,0.056781963
  50,10,"heavy","extreme",0.875708129,0.060330959,0.879251967,0.058230915
 100,10,"heavy","extreme",0.885047161,0.036468508,0.887218296,0.035219412
 200,10,"heavy","extreme",0.893089679,0.032328853,0.894449917,0.031722015
